hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region,whrswk
no,no,no,<9years,white,no,30.0,0,0,0.0,south,40
no,no,no,9-11years,white,yes,17.5,2,2,12.0,south,0
yes,yes,yes,12years,white,no,26.0,0,0,41.788,south,40
no,yes,yes,12years,white,no,24.0,0,1,36.0,south,40
yes,no,yes,13-15years,white,no,14.0,2,0,50.0,south,0
no,yes,yes,16years,white,no,36.0,0,0,28.0,south,40
no,yes,no,12years,black,no,8.0,1,0,5.0,south,40
yes,no,yes,13-15years,white,no,34.0,0,0,87.0,south,0
yes,no,yes,12years,white,no,16.0,0,1,20.0,south,30
yes,no,yes,13-15years,white,no,12.0,0,1,33.0,south,20
no,yes,yes,12years,white,no,23.0,1,1,55.0,south,38
no,yes,yes,12years,white,no,26.0,0,1,32.0,south,40
no,no,no,16years,white,no,13.0,2,0,48.0,south,0
no,yes,no,16years,white,no,18.0,0,0,45.0,south,45
no,no,no,16years,white,no,12.0,3,0,55.0,south,0
no,no,no,12years,white,no,16.0,1,2,37.5,south,37
no,no,no,12years,white,no,16.0,0,2,27.071,south,0
yes,no,yes,13-15years,black,no,16.0,0,0,42.0,south,40
no,no,no,13-15years,white,no,22.0,0,1,6.0,south,40
yes,no,yes,12years,white,no,44.0,0,0,40.0,south,0
no,no,no,9-11years,white,no,33.5,0,1,0.0,south,40
yes,no,yes,12years,white,no,35.0,0,0,46.0,south,0
no,yes,yes,9-11years,white,no,11.5,1,1,24.0,south,40
yes,no,yes,12years,white,no,34.0,0,0,55.0,south,0
yes,no,yes,12years,white,no,9.0,0,2,45.0,south,0
yes,no,yes,12years,white,no,25.0,0,0,50.0,south,40
yes,yes,yes,13-15years,white,no,14.0,1,0,0.0,south,40
no,no,no,12years,white,no,4.0,1,0,16.0,south,35
yes,no,yes,13-15years,white,no,24.0,0,1,30.0,south,0
no,yes,no,12years,white,no,35.0,0,0,20.0,south,37
yes,no,yes,12years,white,no,23.0,0,0,38.0,south,40
no,yes,yes,>16years,black,no,9.0,1,1,30.0,south,40
yes,no,yes,13-15years,black,no,26.0,0,0,32.0,south,0
yes,no,yes,16years,white,no,13.0,1,0,99.999,south,0
yes,no,yes,>16years,white,no,10.0,1,1,55.0,south,30
no,no,no,12years,black,no,13.0,2,2,17.4,south,30
no,no,yes,12years,white,no,17.0,1,0,18.0,south,16
no,no,no,13-15years,white,no,2.0,0,0,7.0,south,40
no,yes,yes,13-15years,white,no,3.0,0,0,28.0,south,40
yes,no,yes,16years,white,no,21.0,0,0,43.0,south,22
yes,yes,yes,13-15years,white,no,6.0,0,0,60.0,south,40
yes,no,yes,16years,white,no,8.0,0,0,30.0,south,40
no,no,no,16years,white,yes,11.0,2,1,38.0,south,40
no,no,no,13-15years,white,no,6.0,0,0,17.5,south,50
no,yes,no,16years,white,no,14.0,0,0,12.0,south,40
yes,no,yes,13-15years,white,no,40.0,0,0,60.0,south,0
yes,no,yes,16years,white,yes,33.0,0,0,40.0,south,0
no,yes,no,16years,white,no,16.0,0,2,24.0,south,40
no,yes,yes,13-15years,white,no,26.0,0,0,16.0,south,40
yes,no,yes,13-15years,white,no,11.0,0,2,32.5,south,40
yes,no,yes,12years,white,no,19.0,0,2,27.0,south,40
no,yes,no,16years,white,no,42.0,0,0,40.0,south,40
yes,no,yes,<9years,white,no,36.0,0,1,50.0,south,32
yes,no,yes,<9years,white,no,41.0,0,0,23.299,south,0
yes,yes,yes,12years,white,no,16.0,0,2,90.15,south,40
yes,no,yes,12years,white,no,20.0,0,2,38.0,south,40
no,yes,no,>16years,white,no,25.0,0,0,17.0,south,40
yes,no,yes,16years,white,no,29.0,0,0,30.0,south,20
no,yes,no,16years,white,no,16.0,0,3,0.0,south,40
no,yes,yes,16years,white,no,31.0,0,0,51.069,south,45
no,yes,no,12years,black,no,47.0,1,0,0.0,south,0
yes,yes,yes,>16years,white,no,4.0,1,0,37.662,south,45
no,yes,no,13-15years,white,no,16.0,0,2,25.0,south,40
yes,no,yes,16years,white,no,14.0,2,0,44.6,south,0
yes,no,yes,13-15years,white,no,10.0,1,1,60.0,south,0
no,yes,no,13-15years,black,no,27.0,0,0,0.8,south,40
yes,no,yes,12years,black,no,10.0,0,3,14.0,south,40
no,yes,yes,12years,white,no,7.0,1,0,14.0,south,40
no,yes,no,12years,white,no,23.0,0,0,60.0,south,37
no,no,no,12years,white,no,24.0,0,0,0.0,south,40
no,no,no,12years,other,no,21.0,0,0,2.8,south,40
no,no,no,9-11years,white,no,21.5,1,2,13.1,south,0
no,no,no,12years,white,no,18.0,0,1,25.0,south,35
yes,yes,yes,9-11years,white,no,23.5,1,1,27.2,south,32
no,no,no,9-11years,white,no,22.5,0,0,0.0,south,15
no,no,no,16years,white,no,13.0,3,0,54.0,south,0
no,no,no,16years,white,no,31.0,0,0,50.0,south,60
yes,no,yes,16years,white,no,41.0,0,0,0.0,south,0
no,yes,yes,12years,black,no,24.0,0,1,18.0,south,40
no,no,no,9-11years,black,no,17.5,1,3,0.35,south,0
yes,yes,yes,12years,black,no,28.0,0,0,23.338,south,30
yes,no,yes,12years,black,no,20.0,1,1,17.9,south,40
yes,no,yes,13-15years,white,no,45.0,0,0,69.0,south,0
yes,no,yes,9-11years,white,no,16.5,0,1,21.9,south,35
no,yes,yes,13-15years,white,no,38.0,0,0,13.0,south,42
no,no,no,9-11years,black,no,5.5,0,0,14.64,south,40
no,no,no,12years,white,no,27.0,0,0,21.0,south,16
no,yes,no,12years,white,no,22.0,1,1,29.999,south,40
yes,no,yes,12years,white,no,5.0,0,0,28.0,south,40
no,yes,no,>16years,white,no,11.0,0,0,6.0,south,60
no,yes,no,16years,white,no,41.0,0,0,0.0,south,45
no,yes,yes,12years,white,no,21.0,0,2,36.0,south,40
yes,yes,yes,13-15years,black,no,15.0,1,1,38.0,south,40
yes,no,yes,12years,white,no,16.0,0,2,52.0,south,20
no,no,yes,16years,white,no,15.0,1,0,36.2,south,40
no,yes,yes,16years,white,no,10.0,1,0,26.0,south,40
no,no,yes,9-11years,white,no,43.5,0,1,30.0,south,0
yes,no,yes,12years,white,no,9.0,1,0,20.0,south,25
yes,yes,yes,13-15years,white,no,37.0,0,0,1.0,south,40
no,no,no,<9years,white,no,49.0,0,0,0.0,south,0
no,yes,yes,13-15years,white,no,14.0,0,0,16.0,south,30
yes,no,yes,13-15years,white,no,7.0,2,0,21.0,south,3
no,yes,yes,13-15years,white,no,10.0,1,0,29.0,south,40
no,yes,yes,13-15years,white,no,42.0,0,0,9.0,south,40
no,no,yes,12years,white,no,34.0,0,1,30.0,south,0
yes,no,yes,12years,white,no,31.0,0,1,26.0,south,0
no,no,no,<9years,white,yes,34.0,0,1,8.84,south,0
no,no,yes,<9years,white,no,42.0,0,0,0.0,south,0
no,no,yes,<9years,white,no,6.0,0,0,8.84,south,0
no,no,no,<9years,white,no,32.0,0,1,11.44,south,0
yes,no,yes,13-15years,white,no,21.0,0,0,15.6,south,0
no,yes,yes,13-15years,white,no,9.0,1,0,15.0,south,40
no,no,no,16years,white,no,43.0,0,0,0.0,south,0
no,no,no,12years,white,no,10.0,1,1,0.0,south,0
no,no,no,13-15years,white,no,13.0,0,2,20.0,south,35
yes,no,yes,13-15years,black,no,33.0,0,0,36.0,south,44
no,no,no,<9years,black,no,47.0,0,0,0.0,south,0
no,yes,yes,13-15years,white,no,3.0,0,0,20.433,south,24
no,no,no,16years,white,yes,9.0,1,0,36.0,south,45
no,no,no,12years,white,no,8.0,0,0,0.0,south,0
yes,no,yes,9-11years,white,no,43.5,0,0,50.0,south,0
yes,no,yes,13-15years,white,no,39.0,0,0,41.0,south,0
no,yes,yes,16years,white,no,11.0,0,0,50.0,south,50
yes,no,yes,>16years,white,no,27.0,0,0,57.0,south,60
no,no,no,13-15years,white,no,28.0,0,0,61.98,south,40
no,no,no,<9years,white,no,16.0,3,0,13.0,south,0
yes,no,yes,13-15years,white,no,30.0,0,1,72.3,south,28
no,yes,no,13-15years,white,no,24.0,0,0,31.2,south,40
no,no,no,12years,black,no,26.0,0,0,36.0,south,40
no,no,no,12years,black,no,32.0,0,3,15.0,south,20
no,yes,no,13-15years,black,no,19.0,0,0,15.0,south,40
no,no,no,9-11years,white,no,20.5,1,2,26.0,south,50
yes,no,yes,16years,white,no,15.0,1,1,38.0,south,40
no,yes,no,13-15years,white,no,27.0,0,0,0.0,south,40
yes,yes,yes,>16years,white,no,38.0,0,0,82.5,south,32
yes,no,yes,12years,white,no,20.0,0,1,41.0,south,33
yes,yes,yes,12years,white,no,27.0,0,1,23.0,south,38
no,no,no,13-15years,white,no,5.0,1,0,0.0,south,0
yes,no,yes,13-15years,white,no,17.0,0,0,65.0,south,20
yes,no,yes,12years,white,no,42.0,0,1,10.4,south,32
yes,yes,yes,16years,white,no,21.0,0,2,18.0,south,40
no,no,no,9-11years,white,no,34.5,0,1,0.0,south,0
no,yes,no,12years,white,no,10.0,1,0,40.0,south,50
no,yes,no,12years,white,no,12.0,0,1,0.0,south,40
no,no,no,12years,white,no,40.0,0,0,7.0,south,35
yes,no,yes,13-15years,white,no,44.0,0,0,0.0,south,0
yes,no,yes,12years,white,no,27.0,0,1,6.0,south,0
no,no,no,9-11years,black,no,33.5,0,0,0.0,south,0
yes,yes,yes,12years,white,no,23.0,1,1,28.0,south,40
no,yes,no,12years,white,no,34.0,0,0,60.0,south,0
yes,no,yes,9-11years,white,no,42.5,0,0,0.0,south,30
no,yes,no,13-15years,white,no,30.0,0,0,0.0,south,60
yes,no,yes,16years,white,no,3.0,1,0,35.0,south,20
yes,no,yes,16years,white,no,30.0,0,0,0.0,south,60
no,yes,yes,>16years,white,no,12.0,1,0,10.0,south,40
yes,no,yes,13-15years,white,no,24.0,0,1,0.0,south,0
yes,no,yes,16years,white,no,24.0,0,0,0.0,south,16
no,no,no,9-11years,black,no,30.5,0,0,0.0,south,0
yes,no,yes,<9years,black,no,46.0,0,0,62.0,south,0
yes,no,yes,16years,black,no,16.0,0,3,13.8,south,40
yes,no,yes,12years,black,no,39.0,0,0,0.0,south,0
yes,no,yes,12years,white,no,1.0,0,0,8.34,south,40
no,yes,yes,13-15years,white,no,30.0,0,0,35.0,south,40
no,yes,no,16years,white,yes,17.0,0,1,13.08,south,40
yes,yes,yes,12years,white,no,45.0,0,0,0.0,south,0
yes,no,yes,12years,white,no,16.0,2,1,22.0,south,0
yes,no,yes,13-15years,white,no,21.0,0,0,40.0,south,20
no,yes,no,12years,white,no,15.0,1,1,16.0,south,40
yes,no,yes,12years,white,no,23.0,0,0,35.0,south,10
no,no,no,12years,white,no,38.0,0,0,22.5,south,40
yes,no,yes,9-11years,white,no,34.5,0,0,21.0,south,0
no,yes,no,13-15years,white,no,37.0,0,0,0.0,south,40
yes,no,yes,13-15years,white,no,17.0,0,2,22.247,south,20
yes,yes,yes,13-15years,white,no,26.0,0,2,20.0,south,40
no,no,no,>16years,white,no,9.0,2,0,36.0,south,55
no,no,no,16years,white,no,13.0,2,0,0.0,south,0
yes,no,yes,13-15years,white,yes,19.0,0,1,34.0,south,0
no,yes,no,13-15years,white,no,16.0,0,1,32.0,south,40
yes,no,yes,12years,white,no,20.0,0,3,37.0,south,35
no,no,yes,13-15years,white,no,9.0,1,3,13.8,south,0
no,no,no,<9years,white,yes,51.0,0,0,0.0,south,0
no,yes,no,13-15years,white,no,36.0,0,0,0.0,south,40
yes,yes,yes,13-15years,white,no,26.0,0,1,28.672,south,40
no,no,no,12years,white,no,39.0,0,0,0.0,south,33
yes,no,yes,12years,white,no,4.0,1,0,23.044,south,24
no,yes,no,12years,white,no,21.0,0,1,0.0,south,65
no,yes,no,13-15years,white,no,23.0,0,2,27.032,south,40
yes,no,yes,16years,white,no,7.0,1,0,60.0,south,50
yes,yes,yes,13-15years,white,no,14.0,1,2,40.0,south,45
no,yes,yes,13-15years,black,no,24.0,0,1,27.0,south,40
no,yes,no,12years,white,no,40.0,0,0,0.0,south,40
no,yes,yes,>16years,black,no,5.0,1,0,80.0,south,50
yes,no,yes,12years,white,no,23.0,0,0,32.502,south,25
yes,yes,yes,16years,white,no,27.0,0,0,50.0,south,50
no,no,no,13-15years,white,no,26.0,0,1,37.0,south,30
yes,no,yes,12years,white,no,22.0,0,1,39.0,south,32
no,yes,no,13-15years,white,no,21.0,0,2,12.2,south,40
no,no,no,12years,white,no,10.0,1,1,14.2,south,40
no,no,no,9-11years,white,no,5.5,1,0,17.0,south,0
no,yes,no,12years,white,no,13.0,0,0,21.0,south,43
no,yes,yes,9-11years,white,no,36.5,0,1,30.0,south,60
yes,no,yes,13-15years,white,no,19.0,2,0,75.0,south,0
no,yes,no,12years,white,no,37.0,0,0,0.2,south,35
no,no,no,>16years,white,no,17.0,0,2,4.9,south,40
yes,no,yes,16years,white,no,23.0,0,1,60.0,south,0
no,no,no,9-11years,white,no,7.5,1,0,12.0,south,0
yes,no,yes,13-15years,white,no,16.0,2,2,40.0,south,0
yes,no,yes,>16years,white,no,38.0,0,0,0.0,south,0
no,no,no,13-15years,black,no,22.0,0,0,18.0,south,48
no,no,no,<9years,white,no,45.0,0,0,0.0,south,0
yes,yes,yes,12years,white,no,29.0,0,1,48.0,south,40
no,yes,yes,12years,white,no,32.0,0,1,56.0,south,40
no,yes,no,12years,white,no,29.0,0,0,26.0,south,40
yes,no,yes,12years,white,no,31.0,0,0,35.0,south,40
yes,no,yes,16years,white,no,20.0,0,3,99.999,south,35
yes,no,yes,16years,white,no,25.0,0,1,99.999,south,0
no,yes,no,>16years,white,no,22.0,0,2,99.999,south,40
no,no,no,<9years,white,no,44.0,0,0,0.0,south,0
no,yes,no,9-11years,white,no,27.5,0,1,20.84,south,40
no,yes,no,16years,white,no,11.0,1,1,25.0,south,40
no,no,no,9-11years,white,no,44.5,0,0,0.0,south,0
yes,no,yes,13-15years,white,no,14.0,0,0,35.0,south,32
yes,no,yes,>16years,white,no,21.0,0,0,50.0,south,40
yes,no,yes,12years,white,no,23.0,1,2,56.0,south,0
no,yes,no,16years,white,no,17.0,0,1,19.0,south,39
yes,no,yes,9-11years,white,no,39.5,0,0,31.0,south,35
no,no,no,9-11years,white,no,43.5,0,0,0.0,south,0
yes,yes,yes,12years,white,no,30.0,0,1,28.5,south,24
yes,no,yes,12years,white,no,41.0,0,0,32.0,south,32
yes,no,yes,12years,white,no,28.0,0,1,60.0,south,0
yes,no,yes,>16years,white,no,38.0,0,0,0.0,south,2
no,no,no,12years,white,no,24.0,0,2,69.0,south,0
no,yes,yes,13-15years,white,no,23.0,0,1,27.0,south,40
yes,no,yes,16years,white,no,22.0,0,2,99.999,south,0
yes,yes,yes,12years,black,no,18.0,0,1,14.5,south,40
no,yes,yes,13-15years,white,no,11.0,2,0,27.5,south,42
yes,yes,yes,>16years,white,no,15.0,1,2,85.0,south,40
no,yes,no,16years,white,no,22.0,0,0,0.0,south,40
no,yes,yes,>16years,white,no,15.0,0,1,32.0,south,45
yes,yes,yes,13-15years,white,no,24.0,0,1,38.0,south,40
yes,no,yes,13-15years,white,no,22.0,0,2,42.0,south,40
yes,no,yes,>16years,black,no,25.0,0,0,30.0,south,0
yes,no,yes,>16years,black,no,19.0,0,1,30.0,south,40
no,no,no,9-11years,black,no,41.5,0,0,7.6,south,0
no,no,no,9-11years,white,no,17.5,1,1,3.0,south,0
no,no,yes,12years,white,no,11.0,0,1,13.0,south,65
yes,no,yes,13-15years,white,no,6.0,0,0,15.0,south,45
no,no,no,<9years,white,no,28.0,0,1,0.0,south,0
no,yes,yes,12years,white,no,16.0,1,1,30.0,south,45
yes,no,yes,12years,white,no,20.0,0,3,35.0,south,0
yes,no,yes,13-15years,white,no,38.0,0,1,8.3,south,8
no,yes,no,12years,white,no,12.0,0,0,25.0,south,40
no,no,no,9-11years,white,no,43.5,0,0,2.172,south,0
no,yes,no,12years,white,no,17.0,0,2,3.0,south,40
yes,no,yes,13-15years,white,no,14.0,0,1,23.0,south,35
yes,no,yes,13-15years,white,no,33.0,0,0,50.0,south,0
no,no,yes,12years,white,no,31.0,0,1,0.0,south,24
yes,no,yes,13-15years,white,no,21.0,0,2,60.0,south,38
yes,no,yes,13-15years,white,no,34.0,0,0,80.0,south,0
yes,no,yes,12years,white,no,29.0,0,0,35.0,south,40
no,no,no,9-11years,white,no,29.5,0,0,6.831,south,50
yes,no,yes,9-11years,white,no,29.5,0,3,22.677,south,0
yes,yes,yes,12years,white,no,10.0,0,0,30.0,south,40
yes,yes,yes,>16years,white,no,8.0,1,0,70.0,south,40
yes,yes,yes,12years,black,no,31.0,0,0,32.0,south,40
no,yes,yes,16years,white,no,4.0,0,0,35.0,south,40
no,yes,yes,12years,white,no,5.0,0,0,18.0,south,50
yes,no,yes,16years,white,no,9.0,0,0,23.5,south,55
yes,yes,yes,13-15years,white,no,11.0,1,0,16.5,south,40
yes,no,yes,13-15years,white,no,12.0,1,0,34.0,south,0
yes,yes,yes,13-15years,white,no,17.0,0,2,75.0,south,35
no,no,no,12years,white,no,31.0,0,0,0.0,south,40
no,yes,no,12years,white,no,35.0,0,0,8.5,south,35
yes,no,yes,13-15years,white,no,7.0,1,0,19.0,south,0
no,no,yes,13-15years,white,no,33.0,0,0,18.0,south,40
yes,no,yes,16years,white,no,20.0,0,0,47.9,south,25
no,yes,no,12years,black,no,13.0,0,1,0.0,south,40
no,no,no,12years,white,no,32.0,0,0,0.0,south,30
yes,no,yes,9-11years,white,no,24.5,0,1,16.0,south,40
yes,no,yes,12years,white,no,41.0,0,0,27.0,south,0
yes,no,yes,12years,white,no,30.0,0,1,24.0,south,0
yes,no,yes,12years,white,no,27.0,0,2,44.0,south,32
no,yes,yes,12years,white,no,21.0,0,2,28.413,south,40
yes,no,yes,9-11years,white,no,12.5,0,2,18.5,south,30
no,no,no,16years,white,no,42.0,0,0,0.0,south,0
no,no,no,13-15years,white,no,22.0,0,1,0.0,south,0
yes,no,yes,12years,white,no,13.0,1,0,28.0,south,0
no,yes,no,13-15years,white,no,14.0,0,0,0.0,south,40
no,no,no,9-11years,white,no,46.5,0,0,0.0,south,0
yes,yes,yes,13-15years,white,no,15.0,0,1,1.7,south,42
yes,no,yes,9-11years,white,no,2.5,1,0,16.0,south,40
yes,no,yes,12years,white,no,37.0,0,0,0.0,south,0
yes,no,yes,12years,white,no,8.0,1,0,13.0,south,0
no,no,no,12years,white,no,19.0,0,0,29.5,south,35
no,no,no,13-15years,white,no,1.0,0,0,21.0,south,40
yes,no,yes,12years,white,no,31.0,0,0,99.999,south,0
no,no,no,12years,white,no,26.0,0,2,22.5,south,0
no,no,no,12years,white,no,37.0,0,0,27.0,south,0
yes,no,yes,12years,white,no,25.0,0,0,32.0,south,0
yes,no,yes,13-15years,white,no,4.0,1,0,28.5,south,0
yes,yes,yes,13-15years,white,no,22.0,1,1,46.5,south,40
yes,no,yes,16years,white,no,16.0,1,1,70.0,south,0
yes,yes,yes,12years,white,no,28.0,0,0,99.999,south,35
no,no,no,13-15years,white,no,36.0,0,0,27.0,south,45
yes,no,yes,12years,white,no,39.0,0,0,27.0,south,20
yes,no,yes,16years,white,no,20.0,0,2,40.54,south,40
yes,no,yes,13-15years,white,no,39.0,0,0,27.0,south,20
no,yes,no,13-15years,white,no,27.0,0,0,0.3,south,40
yes,yes,yes,13-15years,white,no,18.0,0,2,5.0,south,35
no,no,no,13-15years,white,no,25.0,0,0,0.0,south,0
yes,no,yes,12years,white,no,17.0,0,3,40.0,south,32
yes,no,yes,13-15years,white,no,19.0,2,2,40.0,south,20
no,no,no,12years,black,no,22.0,0,2,31.0,south,30
yes,yes,yes,13-15years,white,no,27.0,0,0,28.0,south,40
no,no,no,12years,white,no,21.0,0,2,25.0,south,40
yes,no,yes,12years,white,no,40.0,0,0,0.0,south,35
no,yes,no,12years,white,no,12.0,1,0,0.0,south,40
no,yes,no,12years,white,no,25.0,1,1,28.0,south,35
yes,no,yes,12years,white,no,28.0,0,0,57.348,south,50
yes,no,yes,12years,white,no,20.0,0,2,21.0,south,40
no,no,no,9-11years,white,no,24.5,1,3,5.5,south,0
no,yes,no,13-15years,white,no,21.0,0,1,4.24,south,40
no,no,no,12years,white,no,9.0,1,0,15.0,south,40
no,no,no,<9years,white,no,51.0,0,0,0.0,south,0
no,no,no,12years,white,no,26.0,0,1,19.0,south,43
no,no,no,12years,white,no,40.0,0,0,0.0,south,0
yes,no,yes,12years,white,no,37.0,0,0,47.2,south,0
yes,yes,yes,16years,white,no,14.0,1,1,47.5,south,40
yes,no,yes,13-15years,white,no,18.0,0,2,55.0,south,0
no,yes,no,12years,white,no,30.0,0,2,0.0,south,40
no,no,yes,12years,white,no,25.0,0,0,18.0,south,0
yes,no,yes,9-11years,white,no,4.5,2,0,10.6,south,0
no,no,no,>16years,white,no,39.0,0,0,0.0,south,0
no,no,no,12years,white,no,9.0,1,0,24.0,south,20
no,no,no,9-11years,white,no,25.5,0,1,0.0,south,50
yes,no,yes,12years,white,no,45.0,0,0,41.0,south,0
yes,no,yes,>16years,white,no,21.0,0,1,50.0,south,2
yes,yes,yes,16years,white,no,16.0,2,0,30.0,south,40
no,yes,no,13-15years,white,no,11.0,1,0,22.0,south,50
no,yes,yes,16years,black,no,33.0,0,0,16.05,south,40
yes,no,yes,13-15years,white,no,36.0,0,0,71.55,south,0
yes,no,yes,12years,white,no,37.0,0,0,27.0,south,0
no,no,no,12years,white,no,34.0,0,0,0.0,south,20
no,yes,no,12years,white,no,45.0,0,0,0.0,south,0
no,yes,yes,12years,white,no,37.0,0,0,0.0,south,40
no,yes,no,>16years,white,no,19.0,0,1,65.0,south,40
no,no,no,13-15years,white,no,26.0,0,1,0.0,south,32
yes,no,yes,12years,white,no,31.0,0,1,50.0,south,0
no,yes,no,12years,white,no,22.0,0,0,12.0,south,38
no,no,yes,12years,white,no,35.0,0,0,22.877,south,40
no,no,yes,12years,white,no,24.0,0,0,25.0,south,36
yes,no,yes,12years,white,no,35.0,0,1,20.0,south,47
no,yes,no,12years,black,no,20.0,0,2,7.0,south,38
no,yes,no,13-15years,white,no,12.0,3,0,0.0,south,40
no,no,no,16years,white,no,5.0,1,0,0.5,south,45
no,yes,no,12years,white,no,3.0,0,0,25.0,south,38
no,no,no,<9years,white,yes,22.0,0,0,9.0,south,30
no,yes,no,<9years,white,yes,18.0,1,0,11.8,south,40
no,yes,no,>16years,white,no,38.0,0,0,0.0,south,40
no,yes,yes,13-15years,white,no,15.0,0,0,21.789,south,40
yes,no,yes,9-11years,white,no,45.5,0,0,0.0,south,0
yes,no,yes,9-11years,black,no,35.5,0,0,16.9,south,0
yes,no,yes,<9years,black,no,51.0,0,0,0.0,south,12
yes,no,yes,12years,white,no,31.0,0,1,8.323,south,0
no,yes,yes,13-15years,white,no,17.0,0,0,30.0,south,40
no,yes,no,13-15years,white,no,15.0,0,2,0.0,south,40
yes,no,yes,<9years,black,no,46.0,0,2,12.0,south,0
yes,no,yes,12years,white,no,15.0,2,0,40.0,south,0
yes,no,yes,16years,white,no,6.0,1,0,35.0,south,40
yes,no,yes,12years,white,no,10.0,2,0,46.0,south,40
yes,no,yes,12years,white,no,20.0,0,2,21.312,south,25
no,no,no,12years,white,no,42.0,0,0,0.0,south,0
yes,no,yes,<9years,white,no,48.0,0,0,14.0,south,40
yes,no,yes,13-15years,white,no,16.0,1,1,15.8,south,40
no,no,no,12years,black,no,40.0,0,0,0.0,south,0
no,yes,no,13-15years,white,no,15.0,0,1,16.9,south,28
yes,no,yes,12years,white,no,29.0,0,0,67.5,south,35
yes,no,yes,12years,white,no,17.0,1,1,29.5,south,40
yes,no,yes,16years,white,no,13.0,1,1,33.0,south,40
yes,no,yes,13-15years,white,no,15.0,0,2,24.0,south,40
no,no,no,13-15years,black,no,16.0,0,3,1.5,south,0
yes,no,yes,16years,white,no,11.0,0,0,50.0,south,40
yes,no,yes,12years,black,no,14.0,0,0,12.0,south,37
no,yes,no,12years,black,no,8.0,1,0,19.5,south,40
no,yes,no,13-15years,white,no,18.0,0,0,0.0,south,45
no,no,no,9-11years,white,no,2.5,2,0,0.0,south,0
no,no,no,12years,white,no,25.0,0,0,0.0,south,35
no,no,yes,16years,white,no,6.0,0,0,58.0,south,40
no,yes,yes,13-15years,white,no,40.0,0,0,29.0,south,43
no,no,yes,<9years,white,yes,24.0,0,1,10.4,south,18
no,no,no,9-11years,white,yes,11.5,2,0,1.5,south,0
yes,no,yes,13-15years,white,no,22.0,0,0,89.0,south,40
no,no,yes,9-11years,white,no,36.5,0,0,12.7,south,12
no,no,yes,12years,white,no,7.0,1,0,30.0,south,0
no,yes,no,16years,white,no,28.0,0,2,0.0,south,50
no,no,yes,12years,white,no,25.0,0,0,13.0,south,40
no,no,no,9-11years,white,no,21.5,0,2,0.0,south,0
no,no,no,9-11years,white,no,25.5,2,0,0.0,south,0
no,yes,no,>16years,white,no,27.0,0,0,0.0,south,50
yes,no,yes,12years,white,no,38.0,0,0,52.0,south,0
no,no,no,13-15years,white,no,25.0,0,0,0.0,south,0
yes,no,yes,12years,white,no,10.0,0,1,44.0,south,35
yes,yes,yes,>16years,white,no,16.0,0,3,41.387,south,40
no,no,no,12years,white,no,9.0,1,0,31.0,south,30
no,no,no,>16years,white,no,23.0,1,0,43.148,south,40
no,no,no,12years,white,no,14.0,0,1,32.0,south,40
yes,no,yes,12years,white,no,37.0,0,0,26.0,south,0
no,no,no,13-15years,white,no,14.0,1,2,2.5,south,0
yes,no,yes,13-15years,white,no,26.0,0,0,16.0,south,0
no,no,no,12years,white,no,2.0,2,0,5.0,south,0
yes,yes,yes,13-15years,white,no,26.0,0,1,86.5,south,40
no,yes,no,<9years,white,no,43.0,0,2,15.0,south,40
no,yes,no,<9years,white,no,27.0,1,3,0.0,south,40
yes,no,yes,9-11years,white,no,33.5,0,0,22.0,south,0
yes,yes,yes,12years,black,no,20.0,0,4,0.0,south,40
no,no,no,12years,white,no,21.0,0,1,16.0,south,0
no,no,no,12years,white,no,8.0,2,0,10.0,south,0
no,no,no,9-11years,white,no,37.5,0,0,0.0,south,0
no,no,no,13-15years,white,no,18.0,0,2,0.0,south,40
no,yes,no,12years,white,no,41.0,0,0,0.0,south,40
no,no,no,12years,white,no,26.0,0,1,17.3,south,0
yes,no,yes,12years,white,no,20.0,0,2,47.5,south,0
no,no,no,9-11years,white,no,15.5,0,1,16.0,south,35
no,yes,no,12years,white,no,17.0,1,1,0.0,south,40
yes,no,yes,9-11years,black,no,28.5,0,0,15.0,south,0
no,no,no,13-15years,black,no,12.0,0,2,22.0,south,0
yes,no,yes,<9years,white,yes,50.0,0,0,0.0,south,0
no,no,no,12years,white,yes,40.0,0,0,9.0,south,24
no,yes,no,<9years,white,yes,46.0,0,0,0.0,south,40
yes,no,yes,12years,white,no,20.0,1,2,55.0,south,40
no,yes,yes,12years,white,no,22.0,0,1,12.5,south,45
yes,no,yes,12years,white,no,29.0,0,1,27.0,south,40
yes,no,yes,12years,white,no,19.0,2,5,30.0,south,0
no,no,no,9-11years,white,no,18.5,0,4,18.2,south,0
no,no,yes,12years,white,no,5.0,2,0,17.68,south,40
yes,no,yes,13-15years,white,no,30.0,0,0,45.623,south,0
yes,no,yes,12years,white,no,14.0,1,1,23.0,south,0
no,yes,yes,13-15years,white,no,4.0,1,0,15.0,south,40
no,no,yes,16years,white,no,9.0,0,0,18.0,south,40
no,yes,no,9-11years,white,no,43.5,0,0,0.0,south,0
yes,no,yes,12years,white,no,31.0,0,1,26.0,south,40
no,no,yes,9-11years,white,no,33.5,0,0,15.0,south,0
yes,no,yes,13-15years,white,no,11.0,1,0,22.0,south,37
no,no,no,9-11years,white,no,38.5,1,5,0.0,south,0
yes,no,yes,12years,white,no,10.0,0,1,27.0,south,36
yes,no,yes,12years,white,no,12.0,1,1,35.0,south,0
